"Chart 1: Underemployed workers, Original"
"month","Worked less than usual hours for economic reasons ('000) ('000)","Prefers more hours than usual ('000) ('000)","Total ('000) ('000)"
"Jul-14","322.3","1,521.0","1,690.1"
"Aug-14","310.9","1,546.8","1,730.5"
"Sep-14","343.4","1,589.2","1,787.4"
"Oct-14","281.0","1,496.3","1,656.3"
"Nov-14","281.3","1,635.0","1,793.7"
"Dec-14","328.2","1,663.7","1,842.3"
"Jan-15","393.5","1,593.7","1,828.7"
"Feb-15","369.2","1,551.0","1,759.6"
"Mar-15","313.2","1,529.2","1,708.2"
"Apr-15","276.7","1,576.6","1,718.1"
"May-15","335.5","1,603.8","1,795.0"
"Jun-15","312.1","1,619.4","1,796.5"
"Jul-15","337.6","1,614.1","1,797.8"
"Aug-15","321.7","1,563.2","1,739.5"
"Sep-15","331.9","1,573.9","1,771.9"
"Oct-15","301.8","1,563.5","1,745.1"
"Nov-15","310.0","1,606.9","1,774.8"
"Dec-15","336.8","1,639.1","1,838.4"
"Jan-16","391.2","1,594.7","1,846.9"
"Feb-16","348.7","1,527.9","1,736.1"
"Mar-16","352.4","1,552.2","1,752.1"
"Apr-16","353.5","1,568.5","1,770.7"
"May-16","341.0","1,577.9","1,779.0"
"Jun-16","384.2","1,673.0","1,886.3"
"Jul-16","370.3","1,685.3","1,895.8"
"Aug-16","343.2","1,630.4","1,822.5"
"Sep-16","361.3","1,569.8","1,766.6"
"Oct-16","313.7","1,550.1","1,726.4"
"Nov-16","307.1","1,609.5","1,785.0"
"Dec-16","316.5","1,708.3","1,880.8"
"Jan-17","347.7","1,636.4","1,831.2"
"Feb-17","380.8","1,637.3","1,846.8"
"Mar-17","366.4","1,585.5","1,793.8"
"Apr-17","294.8","1,630.1","1,789.6"
"May-17","348.8","1,623.1","1,814.1"
"Jun-17","325.9","1,619.5","1,799.7"
"Jul-17","356.4","1,621.4","1,817.1"
"Aug-17","339.7","1,589.7","1,787.3"
"Sep-17","333.2","1,551.8","1,730.1"
"Oct-17","306.2","1,562.0","1,724.8"
"Nov-17","307.0","1,647.6","1,813.2"
"Dec-17","325.2","1,718.2","1,907.9"
"Jan-18","353.9","1,692.5","1,906.1"
"Feb-18","390.9","1,606.1","1,830.7"
"Mar-18","332.5","1,595.7","1,788.6"
"Apr-18","314.6","1,619.8","1,788.3"
"May-18","349.2","1,585.0","1,790.4"
"Jun-18","322.2","1,643.6","1,818.4"
"Jul-18","326.7","1,676.7","1,858.1"
"Aug-18","346.5","1,598.1","1,795.0"
"Sep-18","317.1","1,565.5","1,747.2"
"Oct-18","303.7","1,588.2","1,763.1"
"Nov-18","337.9","1,638.4","1,842.2"
"Dec-18","336.1","1,715.2","1,901.7"
"Jan-19","429.7","1,667.9","1,924.9"
"Feb-19","378.3","1,552.0","1,766.7"
"Mar-19","336.5","1,591.6","1,779.8"
"Apr-19","353.2","1,661.5","1,853.5"
"May-19","375.8","1,696.9","1,903.0"
"Jun-19","346.4","1,669.5","1,863.3"
"Jul-19","368.9","1,687.1","1,882.6"
"Aug-19","378.9","1,691.1","1,898.6"
"Sep-19","357.1","1,649.4","1,875.1"
"Oct-19","341.0","1,682.6","1,873.5"
"Nov-19","327.9","1,691.1","1,877.7"
"Dec-19","344.2","1,774.9","1,966.2"
"Jan-20","444.1","1,785.4","2,037.3"
"Feb-20","384.4","1,713.0","1,935.1"
"Mar-20","458.2","1,736.6","1,985.8"
"Apr-20","1,742.9","1,748.1","2,964.5"
"May-20","1,522.7","1,648.3","2,753.8"
"Jun-20","1,131.9","1,739.4","2,506.3"
"Jul-20","969.9","1,746.9","2,389.4"
"Aug-20","964.0","1,744.1","2,392.1"
"Sep-20","883.4","1,694.3","2,279.8"
"Oct-20","661.9","1,729.5","2,131.5"
"Nov-20","549.3","1,685.0","2,019.1"
"Dec-20","456.2","1,664.2","1,944.1"
"Jan-21","508.1","1,599.8","1,908.3"
"Feb-21","548.3","1,560.3","1,895.4"
"Mar-21","386.6","1,548.1","1,771.9"
"Apr-21","362.5","1,492.3","1,690.8"
"May-21","340.8","1,487.4","1,677.1"
"Jun-21","511.2","1,510.7","1,846.1"
"Jul-21","631.2","1,544.7","1,949.4"
"Aug-21","816.5","1,445.0","2,015.8"
"Sep-21","810.3","1,373.8","1,962.1"
"Oct-21","754.0","1,400.3","1,951.2"
"Nov-21","417.6","1,432.9","1,694.9"
"Dec-21","357.8","1,389.7","1,614.7"
"Jan-22","398.7","1,338.9","1,599.1"
"Feb-22","421.8","1,321.5","1,579.1"
"Mar-22","335.0","1,333.6","1,529.8"
"Apr-22","306.3","1,310.4","1,498.6"
"May-22","313.3","1,278.7","1,480.4"
"Jun-22","339.9","1,297.2","1,512.1"
"Jul-22","325.3","1,324.6","1,534.0"
"Aug-22","301.0","1,310.1","1,488.1"
"Sep-22","285.3","1,266.2","1,439.9"
"Oct-22","273.7","1,308.9","1,473.7"
"Nov-22","258.7","1,348.9","1,503.2"
"Dec-22","271.6","1,413.7","1,578.0"
"Jan-23","318.6","1,380.2","1,578.4"
"Feb-23","313.5","1,338.5","1,541.6"
"Mar-23","328.4","1,392.2","1,589.7"
"Apr-23","280.1","1,395.4","1,540.0"
"May-23","304.9","1,425.2","1,601.1"
"Jun-23","324.0","1,426.5","1,619.2"
"Jul-23","368.9","1,436.8","1,657.7"
"Aug-23","356.9","1,442.9","1,662.4"
"Sep-23","320.7","1,365.8","1,558.0"
"Oct-23","292.8","1,398.1","1,565.5"
"Nov-23","295.8","1,471.5","1,652.7"
"Dec-23","324.5","1,559.5","1,751.7"
"Jan-24","328.7","1,511.4","1,701.0"
"Feb-24","350.5","1,454.6","1,661.2"
"Mar-24","315.2","1,478.7","1,663.1"
"Apr-24","295.8","1,472.0","1,639.6"
"May-24","326.6","1,484.8","1,674.7"
"Jun-24","308.0","1,517.1","1,690.6"
"Jul-24","295.6","1,524.2","1,697.5"
"Aug-24","325.6","1,480.8","1,673.2"
"Sep-24","314.3","1,398.1","1,599.3"
"Oct-24","291.3","1,400.4","1,574.7"
"Nov-24","286.9","1,379.6","1,550.3"
"Dec-24","304.4","1,453.4","1,637.5"
"Jan-25","385.0","1,433.1","1,673.2"
"Feb-25","327.9","1,307.3","1,498.7"
"Mar-25","334.9","1,346.1","1,556.5"
"Apr-25","335.6","1,363.7","1,582.3"
"May-25","321.1","1,336.4","1,535.1"

" Note: There are people who preferred more hours and also had their hours reduced, that is, they worked less hours than usual, and also prefer to work more than their usual hours - so the sum of the people who preferred more hours and people who had their hours reduced does not equal the total underemployed."

" Source: Australian Bureau of Statistics, Underemployed workers February 2025"
