"Underemployment rate and underutilisation rate"
,"Underemployment rate - Trend (%)","Underemployment rate - Seasonally adjusted (%)","Underutilisation rate - Trend (%)","Underutilisation rate - Seasonally adjusted (%)"
"Apr-16","8.5","8.6","14.2","14.3"
"May-16","8.6","8.3","14.2","14.1"
"Jun-16","8.7","8.8","14.3","14.5"
"Jul-16","8.7","9.0","14.3","14.7"
"Aug-16","8.7","8.8","14.3","14.4"
"Sep-16","8.6","8.7","14.3","14.4"
"Oct-16","8.6","8.5","14.3","14.1"
"Nov-16","8.6","8.5","14.3","14.3"
"Dec-16","8.6","8.6","14.4","14.4"
"Jan-17","8.7","8.7","14.5","14.4"
"Feb-17","8.7","9.0","14.5","14.9"
"Mar-17","8.7","8.6","14.5","14.4"
"Apr-17","8.7","8.7","14.4","14.3"
"May-17","8.6","8.7","14.3","14.3"
"Jun-17","8.6","8.4","14.2","14.0"
"Jul-17","8.5","8.5","14.1","14.1"
"Aug-17","8.5","8.6","14.0","14.1"
"Sep-17","8.5","8.5","14.0","14.0"
"Oct-17","8.5","8.4","14.0","13.9"
"Nov-17","8.5","8.5","14.0","14.0"
"Dec-17","8.5","8.5","14.0","14.1"
"Jan-18","8.5","8.7","14.0","14.2"
"Feb-18","8.5","8.5","14.0","14.1"
"Mar-18","8.5","8.6","14.0","14.1"
"Apr-18","8.5","8.4","14.0","14.0"
"May-18","8.5","8.5","14.0","14.0"
"Jun-18","8.5","8.6","13.9","13.9"
"Jul-18","8.4","8.5","13.7","13.8"
"Aug-18","8.4","8.2","13.6","13.4"
"Sep-18","8.3","8.3","13.5","13.3"
"Oct-18","8.3","8.2","13.4","13.2"
"Nov-18","8.2","8.5","13.3","13.6"
"Dec-18","8.2","8.3","13.2","13.3"
"Jan-19","8.2","8.1","13.2","13.1"
"Feb-19","8.2","8.0","13.3","13.0"
"Mar-19","8.2","8.2","13.3","13.3"
"Apr-19","8.3","8.4","13.4","13.7"
"May-19","8.3","8.7","13.5","13.9"
"Jun-19","8.4","8.2","13.6","13.5"
"Jul-19","8.4","8.4","13.6","13.7"
"Aug-19","8.4","8.5","13.6","13.7"
"Sep-19","8.4","8.3","13.6","13.5"
"Oct-19","8.4","8.4","13.6","13.7"
"Nov-19","8.4","8.3","13.6","13.5"
"Dec-19","8.4","8.3","13.6","13.3"
"Jan-20","8.5","8.5","13.7","13.8"
"Feb-20","8.6","8.5","13.8","13.7"
"Mar-20","8.6","8.7","13.9","13.9"
"Apr-20",,"13.6",,"19.9"
"May-20",,"13.3",,"20.3"
"Jun-20",,"11.6",,"19.0"
"Jul-20",,"11.2",,"18.6"
"Aug-20",,"11.1",,"17.9"
"Sep-20",,"11.2",,"18.1"
"Oct-20",,"10.2",,"17.2"
"Nov-20",,"9.3",,"16.1"
"Dec-20",,"8.5",,"15.1"
"Jan-21",,"8.1",,"14.4"
"Feb-21",,"8.4",,"14.2"
"Mar-21",,"7.9",,"13.5"
"Apr-21",,"7.8",,"13.3"
"May-21",,"7.7",,"12.8"
"Jun-21",,"7.9",,"12.9"
"Jul-21",,"8.3",,"13.0"
"Aug-21",,"9.1",,"13.7"
"Sep-21",,"9.1",,"13.8"
"Oct-21",,"9.4",,"14.6"
"Nov-21",,"7.5",,"12.2"
"Dec-21",,"6.7",,"10.9"
"Jan-22",,"6.6",,"10.7"
"Feb-22",,"6.6",,"10.6"
"Mar-22",,"6.3",,"10.3"
"Apr-22","6.2","6.2","10.1","10.0"
"May-22","6.1","6.0","9.9","9.9"
"Jun-22","6.1","6.1","9.7","9.7"
"Jul-22","6.0","6.1","9.6","9.6"
"Aug-22","6.0","6.0","9.5","9.5"
"Sep-22","6.0","6.0","9.5","9.6"
